hospital_count,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,Hospital Ownership,Hospital Type,State,County Name,ZIP Code
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Government - Hospital District or Authority,Critical Access Hospitals,WY,LINCOLN,83110
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Government - Hospital District or Authority,Acute Care Hospitals,TX,PALO PINTO,76067
1,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,TX,SOMERVELL,76043
1,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Proprietary,Acute Care Hospitals,VA,FRANKLIN CITY,23851
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Church,Critical Access Hospitals,ND,GRAND FORKS,58267
1,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,WV,MONONGALIA,26506
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,FL,LAKE,34711
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Government - Hospital District or Authority,Critical Access Hospitals,CO,MORGAN,80723
1,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Proprietary,Acute Care Hospitals,FL,PASCO,34667
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,IL,KANE,60134
1,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Proprietary,Acute Care Hospitals,MA,BRISTOL,2780
1,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,LA,CALDWELL,71418
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,ID,CASSIA,83318
1,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Government - Hospital District or Authority,Critical Access Hospitals,MI,KALKASKA,49646
1,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,MI,MACOMB,48093
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,NV,LANDER,89820
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,MT,BROADWATER,59644
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,MN,SCOTT,55379
1,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Voluntary non-profit - Other,Acute Care Hospitals,MA,WORCESTER,1757
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,TX,NOLAN,79556
1,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,ND,TRAILL,58257
1,Not Available,Below the national average,Same as the national average,Above the national average,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,RI,PROVIDENCE,2905
1,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,TN,ANDERSON,37830
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,OR,WASHINGTON,97123
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,WI,WAUSHARA,54984
1,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,WI,OZAUKEE,53097
1,Not Available,Same as the national average,Same as the national average,Same as the national average,Below the national average,Proprietary,Acute Care Hospitals,TX,EL PASO,79936
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,TX,OCHILTREE,79070
1,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Government - State,Acute Care Hospitals,CA,RIVERSIDE,92543
1,Below the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,AR,IZARD,72519
1,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,FL,MIAMI-DADE,33180
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,CO,ALAMOSA,81101
1,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Government - Local,Acute Care Hospitals,IA,JASPER,50208
1,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Government - Local,Acute Care Hospitals,IN,FLOYD,47150
1,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,NY,ULSTER,12428
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NY,WESTCHESTER,10549
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,SD,TRIPP,57580
1,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,PA,VENANGO,16346
1,Below the national average,Below the national average,Same as the national average,Above the national average,Above the national average,Proprietary,Acute Care Hospitals,TN,DYER,38024
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,OK,NOWATA,74048
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,WA,KING,98029
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,WA,COLUMBIA,99328
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,TX,WOOD,75783
1,Above the national average,Below the national average,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Other,Acute Care Hospitals,TX,FORT BEND,77478
1,Above the national average,Below the national average,Same as the national average,Above the national average,Not Available,Government - Local,Acute Care Hospitals,WY,SHERIDAN,82801
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Proprietary,Acute Care Hospitals,UT,BOX ELDER,84302
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,TX,DENTON,75057
1,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,VA,ROANOKE CITY,24014
1,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Proprietary,Acute Care Hospitals,VA,SPOTSYLVANIA,22408
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Government - Local,Critical Access Hospitals,MN,RENVILLE,56277
1,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Proprietary,Acute Care Hospitals,CA,ORANGE,92708
1,Not Available,Above the national average,Below the national average,Same as the national average,Not Available,Proprietary,Acute Care Hospitals,AR,WASHINGTON,72703
1,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Government - Hospital District or Authority,Acute Care Hospitals,CO,ADAMS,80045
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Childrens,CA,ALAMEDA,94609
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Voluntary non-profit - Church,Acute Care Hospitals,CO,DENVER,80210
1,Same as the national average,Same as the national average,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,CO,GARFIELD,81650
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Government - Hospital District or Authority,Critical Access Hospitals,IL,RANDOLPH,62233
1,Same as the national average,Same as the national average,Not Available,Not Available,Not Available,Government - Local,Critical Access Hospitals,ID,FRANKLIN,83263
1,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Government - Local,Acute Care Hospitals,IN,CASS,46947
1,Same as the national average,Not Available,Below the national average,Above the national average,Same as the national average,Government - Local,Acute Care Hospitals,MS,SUNFLOWER,38751
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Proprietary,Acute Care Hospitals,MA,NORFOLK,2062
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,MN,MARTIN,56031
1,Not Available,Not Available,Same as the national average,Not Available,Not Available,Government - Local,Critical Access Hospitals,NE,KEARNEY,68959
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,PA,PHILADELPHIA,19141
1,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NC,LENOIR,28501
1,Same as the national average,Not Available,Same as the national average,Same as the national average,Below the national average,Voluntary non-profit - Private,Critical Access Hospitals,WV,ROANE,25276
1,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Proprietary,Acute Care Hospitals,VA,EMPORIA CITY,23847
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,TX,REAGAN,76932
1,Not Available,Above the national average,Same as the national average,Same as the national average,Below the national average,Physician,Acute Care Hospitals,TX,GRAYSON,75090
1,Same as the national average,Above the national average,Same as the national average,Below the national average,Not Available,Government - State,Acute Care Hospitals,WV,MCDOWELL,24801
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,WA,WALLA WALLA,99362
2,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,WI,WINNEBAGO,54904
1,Same as the national average,Above the national average,Not Available,Not Available,Not Available,Proprietary,Acute Care Hospitals,TX,TARRANT,76012
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,TX,BOSQUE,76634
1,Below the national average,Above the national average,Above the national average,Below the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,NY,WESTCHESTER,10601
1,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,OH,LAKE,44077
1,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,OK,PAYNE,74076
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Other,Acute Care Hospitals,PR,SAN JUAN,936
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,AL,MARION,35570
1,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,FL,MIAMI-DADE,33143
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,FL,DUVAL,32250
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,KY,OLDHAM,40031
1,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,IN,MARION,46202
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,MD,BALTIMORE CITY,21287
1,Below the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Government - Local,Acute Care Hospitals,IN,DEARBORN,47025
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Church,Critical Access Hospitals,IN,MADISON,46036
1,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,IA,IDA,51445
1,Above the national average,Above the national average,Same as the national average,Not Available,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,MA,SUFFOLK,2120
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Proprietary,Critical Access Hospitals,MI,CLINTON,48879
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,MN,CHISAGO,55092
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Not Available,Proprietary,Acute Care Hospitals,PA,NORTHUMBERLAND,17801
1,Below the national average,Below the national average,Same as the national average,Above the national average,Not Available,Proprietary,Acute Care Hospitals,TN,HAMBLEN,37814
1,Below the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,PA,WAYNE,18431
1,Same as the national average,Above the national average,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,WA,MASON,98584
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Local,Critical Access Hospitals,UT,KANE,84741
1,Not Available,Not Available,Not Available,Same as the national average,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,WA,ADAMS,99169
1,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,Physician,Acute Care Hospitals,TX,DALLAS,75146
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Government - Local,Acute Care Hospitals,CA,SAN BERNARDINO,92324
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,Proprietary,Critical Access Hospitals,AR,BENTON,72736
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Proprietary,Acute Care Hospitals,AL,BUTLER,36033
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,FL,SAINT JOHNS,32086
1,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Proprietary,Critical Access Hospitals,AR,YELL,72834
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Childrens,CA,FRESNO,93636
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,GA,FRANKLIN,30553
1,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,KY,CHRISTIAN,42240
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,IA,JONES,52205
1,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,ID,IDAHO,83530
1,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Government - Hospital District or Authority,Acute Care Hospitals,LA,JEFFERSON,70006
1,Not Available,Not Available,Same as the national average,Above the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,MN,JACKSON,56143
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Local,Critical Access Hospitals,NE,FRANKLIN,68939
1,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Voluntary non-profit - Other,Acute Care Hospitals,NJ,ATLANTIC,8401
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,MN,SAINT LOUIS,55731
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,NE,PERKINS,69140
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,MO,LINN,64628
1,Same as the national average,Not Available,Not Available,Not Available,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,MO,ATCHISON,64446
1,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Government - State,Acute Care Hospitals,NC,ORANGE,27514
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Childrens,SD,MINNEHAHA,57105
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Government - Local,Critical Access Hospitals,SD,FALL RIVER,57747
1,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,OH,CUYAHOGA,44115
1,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,PA,YORK,17403
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Proprietary,Acute Care Hospitals,TX,DENTON,75028
1,Same as the national average,Not Available,Below the national average,Above the national average,Not Available,Government - Hospital District or Authority,Acute Care Hospitals,TX,TYLER,75979
1,Below the national average,Below the national average,Same as the national average,Above the national average,Below the national average,Proprietary,Acute Care Hospitals,VA,HOPEWELL CITY,23860
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Government - Local,Critical Access Hospitals,MI,SCHOOLCRAFT,49854
1,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,Government - Local,Critical Access Hospitals,NE,PAWNEE,68420
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Federal,Acute Care Hospitals,NM,CIBOLA,87049
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Proprietary,Critical Access Hospitals,TX,MILAM,76567
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,TX,BURNET,78611
1,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,AL,MONTGOMERY,36106
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,Government - Hospital District or Authority,Acute Care Hospitals,GA,ELBERT,30635
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Other,Critical Access Hospitals,IA,MITCHELL,50461
1,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Proprietary,Acute Care Hospitals,GA,RICHMOND,30909
1,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,IA,MARION,50138
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,MD,BALTIMORE CITY,21223
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Government - Local,Acute Care Hospitals,ME,AROOSTOOK,4736
1,Not Available,Not Available,Same as the national average,Above the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,IA,ADAMS,50841
1,Below the national average,Above the national average,Same as the national average,Above the national average,Above the national average,Government - Local,Acute Care Hospitals,KS,DOUGLAS,66044
1,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,IL,WILL,60440
1,Not Available,Above the national average,Not Available,Not Available,Not Available,Physician,Acute Care Hospitals,KS,JOHNSON,66211
1,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,IL,PIKE,62363
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,KS,MIAMI,66071
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,NY,NEW YORK,10021
1,Below the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,MO,SAINT LOUIS,63044
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,PA,FULTON,17233
1,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Government - Hospital District or Authority,Acute Care Hospitals,OK,NOBLE,73077
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,TX,TARRANT,76244
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Proprietary,Acute Care Hospitals,WA,YAKIMA,98948
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,TX,FANNIN,75418
1,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,VA,MONTGOMERY,24073
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,TX,SAN AUGUSTINE,75972
1,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,CA,ALAMEDA,94609
1,Same as the national average,Above the national average,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,CA,INYO,93514
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,IN,MARION,46256
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,KS,RUSSELL,67665
1,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,LA,POINTE COUPEE,70760
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Government - State,Acute Care Hospitals,NY,ONONDAGA,13210
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Government - Federal,Acute Care Hospitals,MA,NORFOLK,2186
1,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Proprietary,Acute Care Hospitals,PA,PHILADELPHIA,19128
1,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,OR,DOUGLAS,97471
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Proprietary,Acute Care Hospitals,PA,CUMBERLAND,17015
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,PA,MONTGOMERY,19408
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,OH,HAMILTON,45255
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Voluntary non-profit - Other,Acute Care Hospitals,OK,CUSTER,73601
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,OK,CARTER,73401
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Other,Childrens,PA,ALLEGHENY,15224
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,TX,MATAGORDA,77465
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,WV,MINERAL,26726
1,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,VA,NORFOLK CITY,23502
1,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Voluntary non-profit - Other,Acute Care Hospitals,PA,LEBANON,17042
1,Not Available,Not Available,Not Available,Not Available,Not Available,Proprietary,Acute Care Hospitals,PR,HUMACAO,791
1,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,CT,NEW HAVEN,6418
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - State,Acute Care Hospitals,FL,GADSDEN,32324
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,FL,WALTON,32550
1,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Proprietary,Acute Care Hospitals,CA,VENTURA,91360
1,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Proprietary,Acute Care Hospitals,KS,BARTON,67530
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,IA,WOODBURY,51104
1,Not Available,Above the national average,Same as the national average,Below the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,LA,LAFAYETTE,70506
1,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NM,BERNALILLO,87102
1,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Voluntary non-profit - Other,Acute Care Hospitals,NY,ROCKLAND,10960
1,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NY,ALBANY,12208
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NY,COLUMBIA,12534
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NC,BEAUFORT,27889
1,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,OH,CUYAHOGA,44195
1,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,OH,HAMILTON,45220
1,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,PA,ALLEGHENY,15143
1,Not Available,Not Available,Not Available,Not Available,Not Available,Physician,Acute Care Hospitals,TX,TARRANT,76054
1,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,TX,ANGELINA,75901
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,TX,MOORE,79029
1,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,VA,RUSSELL,24266
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,WY,BIG HORN,82410
1,Same as the national average,Below the national average,Same as the national average,Above the national average,Below the national average,Voluntary non-profit - Other,Acute Care Hospitals,OK,PITTSBURG,74501
1,Below the national average,Below the national average,Below the national average,Below the national average,Above the national average,Government - Hospital District or Authority,Acute Care Hospitals,FL,MIAMI-DADE,33136
1,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,CO,LARIMER,80538
1,Same as the national average,Above the national average,Below the national average,Same as the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,KY,GREEN,42743
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Government - Hospital District or Authority,Acute Care Hospitals,LA,BEAUREGARD,70634
1,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,ID,KOOTENAI,83814
1,Same as the national average,Not Available,Not Available,Above the national average,Not Available,Government - Local,Critical Access Hospitals,KS,GRAHAM,67642
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Proprietary,Critical Access Hospitals,KY,OWEN,40359
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Church,Critical Access Hospitals,NE,HOLT,68763
1,Same as the national average,Below the national average,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,NY,ORLEANS,14103
1,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NJ,HUNTERDON,8822
1,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,NC,BUNCOMBE,28801
1,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,MA,NORFOLK,2190
1,Not Available,Not Available,Same as the national average,Above the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,OH,ALLEN,45817
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,OK,BEAVER,73932
1,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Government - Local,Acute Care Hospitals,TN,HOUSTON,37061
